County,Premium_Rate_per_acre
Other,64.39
Madera,157.37
Stanislaus,176.2
Merced,172.48
Stanislaus,206.63
Merced,157.05
Stanislaus,150.79
Kern,206.31
Fresno,201.51
Colusa,136.97
Stanislaus,119.69
Colusa,153.3
Fresno,175.64
Other,217.07
Fresno,174.09
Madera,164.35
Stanislaus,162.96
Fresno,167.46
Madera,141.78
Kern,230.0
Merced,146.77
Tulare,227.76
Fresno,65.0
Fresno,136.83
Glenn,164.41
Butte,134.25
Other,207.84
Kern,101.78
Tulare,225.99
Fresno,173.26
San Joaquin,136.44
Tulare,65.25
Merced,151.91
Tulare,111.72
Merced,55.98
Kern,208.04
Madera,118.51
Colusa,0.0
Kern,118.1
Butte,140.89
Colusa,0.0
Stanislaus,176.2
Glenn,137.61
Other,234.4
Stanislaus,190.4
Kern,212.06
Fresno,0.0
Kern,125.7
Kern,217.0
Merced,0.0
Stanislaus,161.9
Tulare,145.95
San Joaquin,139.01
Madera,0.0
Madera,149.37
Kern,72.91
Other,174.32
Merced,171.39
Stanislaus,143.93
Stanislaus,194.36
Other,210.37
Other,217.58
Madera,163.03
Other,214.42
San Joaquin,175.63
Kern,230.69
Other,101.45
Kern,202.06
Madera,165.46
Tulare,128.84
Stanislaus,126.64
Butte,133.11
Madera,53.13
Butte,167.55
Kern,179.17
Other,218.34
Other,168.37
Madera,150.89
Other,172.55
Fresno,146.56
Butte,0.0
Kern,193.2
Fresno,181.33
Other,182.29
Other,168.12
Merced,200.67
Fresno,156.08
Other,223.27
Fresno,171.91
Fresno,181.44
Butte,147.36
Other,210.12
Stanislaus,146.16
Colusa,143.07
Madera,166.47
Stanislaus,162.67
Stanislaus,191.56
Other,213.66
Other,201.77
Glenn,168.33
Merced,52.91
Other,81.85
Kern,73.48
Fresno,89.73
Stanislaus,205.18
Other,224.54
Merced,154.88
Butte,179.96
Fresno,61.48
Other,201.01
Kern,204.7
Stanislaus,153.3
Other,0.0
Tulare,141.2
San Joaquin,118.13
Other,232.76
Colusa,138.5
Kern,98.56
Fresno,159.7
Kern,190.56
Fresno,213.42
Colusa,91.67
Butte,125.86
Fresno,204.72
Butte,161.17
Stanislaus,132.82
Tulare,205.01
Fresno,158.77
Madera,123.16
Kern,175.14
Stanislaus,114.08
Fresno,148.52
Stanislaus,157.65
Kern,190.44
Madera,183.58
Merced,167.24
Butte,106.54
San Joaquin,146.74
Kern,201.82
Kern,222.87
Kern,197.11
Other,222.39
Glenn,106.55
Kern,118.68
Merced,194.44
Stanislaus,165.77
Other,257.55
San Joaquin,163.58
Tulare,184.26
Stanislaus,177.94
Butte,153.82
Merced,46.58
Stanislaus,133.79
Other,204.42
San Joaquin,153.36
Fresno,185.78
Kern,228.62
Other,265.78
Fresno,217.97
Madera,227.4
Butte,140.89
Butte,63.8
Stanislaus,156.69
Fresno,151.21
San Joaquin,201.66
San Joaquin,170.02
Tulare,164.83
Merced,204.13
Kern,206.77
San Joaquin,59.62
Madera,176.59
Glenn,174.03
San Joaquin,172.13
Merced,148.75
Stanislaus,143.26
Merced,174.46
Madera,193.9
San Joaquin,0.0
Fresno,134.86
Colusa,196.35
Fresno,141.59
Stanislaus,109.16
Kern,206.65
Other,209.99
Madera,108.99
Stanislaus,176.87
Kern,128.46
Kern,252.77
Merced,162.49
Stanislaus,153.21
Tulare,139.77
Merced,155.77
Kern,202.28
Other,193.04
Kern,175.72
Merced,159.92
San Joaquin,146.19
Other,202.53
Stanislaus,207.88
Fresno,172.43
Other,159.64
Tulare,63.37
San Joaquin,186.21
Fresno,168.19
Glenn,113.44
Fresno,152.97
Fresno,173.05
Fresno,172.43
Other,213.41
Other,0.0
Kern,137.66
Fresno,135.07
Other,186.33
Merced,96.33
Glenn,159.9
